day,time,clearing price (CNY/MWh)
2023/7/1,0:15,391.7048135159177
2023/7/1,0:30,386.05623663754284
2023/7/1,0:45,379.0449641603127
2023/7/1,1:00,376.8804180741322
2023/7/1,1:15,382.48684880304853
2023/7/1,1:30,364.427424724977
2023/7/1,1:45,369.178662679605
2023/7/1,2:00,359.4093204747115
2023/7/1,2:15,358.4599130286998
2023/7/1,2:30,372.15356499956033
2023/7/1,2:45,373.17080737902467
2023/7/1,3:00,365.3097770615167
2023/7/1,3:15,366.50229427094956
2023/7/1,3:30,365.35328919658184
2023/7/1,3:45,364.91982430591406
2023/7/1,4:00,365.2910153320927
2023/7/1,4:15,354.5817736564651
2023/7/1,4:30,360.0817298873201
2023/7/1,4:45,357.3574299668243
2023/7/1,5:00,364.8122683695354
2023/7/1,5:15,373.80607982228696
2023/7/1,5:30,371.048056132832
2023/7/1,5:45,370.83739745908207
2023/7/1,6:00,367.05158528548094
2023/7/1,6:15,374.7471141827053
2023/7/1,6:30,373.20933647292503
2023/7/1,6:45,356.61614464808713
2023/7/1,7:00,316.750326683097
2023/7/1,7:15,309.2668628216706
2023/7/1,7:30,312.5287424047088
2023/7/1,7:45,305.37591569497755
2023/7/1,8:00,277.2899749083247
2023/7/1,8:15,283.22845532038457
2023/7/1,8:30,280.7197439253981
2023/7/1,8:45,271.2333179696704
2023/7/1,9:00,257.06901401394003
2023/7/1,9:15,253.21808712609226
2023/7/1,9:30,248.71080136946017
2023/7/1,9:45,247.27984830402607
2023/7/1,10:00,239.93166261242482
2023/7/1,10:15,242.91920241773863
2023/7/1,10:30,241.5172650245908
2023/7/1,10:45,253.00334772603537
2023/7/1,11:00,257.72249950843843
2023/7/1,11:15,259.0732136047046
2023/7/1,11:30,267.62269263673846
2023/7/1,11:45,265.6909475814038
2023/7/1,12:00,230.05503077730043
2023/7/1,12:15,218.4745620790783
2023/7/1,12:30,220.34996952823076
2023/7/1,12:45,223.60970498755935
2023/7/1,13:00,243.88645086662396
2023/7/1,13:15,250.17502697768933
2023/7/1,13:30,255.23123064930243
2023/7/1,13:45,258.74638394551664
2023/7/1,14:00,290.3531299153958
2023/7/1,14:15,288.20873559762236
2023/7/1,14:30,277.075688673641
2023/7/1,14:45,295.9880486633462
2023/7/1,15:00,282.02519188006147
2023/7/1,15:15,308.0457636101084
2023/7/1,15:30,359.1343906619215
2023/7/1,15:45,357.87037769284785
2023/7/1,16:00,415.71434391565487
2023/7/1,16:15,420.4118046313105
2023/7/1,16:30,431.14075968153907
2023/7/1,16:45,432.0288119493144
