timestamp,demand,clearing price (CNY/MWh)
2021-12-01 00:15:00,40334.18,350.8
2021-12-01 00:30:00,40523.15,350.8
2021-12-01 00:45:00,40374.74,350.8
2021-12-01 01:00:00,40111.55,350.8
2021-12-01 01:15:00,40067.5,348.93
2021-12-01 01:30:00,39562.02,348.93
2021-12-01 01:45:00,39629.9,348.93
2021-12-01 02:00:00,39121.31,348.93
2021-12-01 02:15:00,39124.08,347.01
2021-12-01 02:30:00,38730.58,347.01
2021-12-01 02:45:00,38711.77,347.01
2021-12-01 03:00:00,38139.21,347.01
2021-12-01 03:15:00,37918.59,344.27
2021-12-01 03:30:00,37623.59,344.27
2021-12-01 03:45:00,37676.76,344.27
2021-12-01 04:00:00,37526.31,344.27
2021-12-01 04:15:00,38162.51,345.56
2021-12-01 04:30:00,38536.24,345.56
2021-12-01 04:45:00,38575.9,345.56
2021-12-01 05:00:00,39060.35,345.56
2021-12-01 05:15:00,39824.33,357.66
2021-12-01 05:30:00,40550.54,357.66
2021-12-01 05:45:00,41176.78,357.66
2021-12-01 06:00:00,41766.42,357.66
2021-12-01 06:15:00,42614.23,376.59
2021-12-01 06:30:00,43147.1,376.59
2021-12-01 06:45:00,43900.59,376.59
2021-12-01 07:00:00,44109.34,376.59
2021-12-01 07:15:00,43540.87,387.74
2021-12-01 07:30:00,43381.69,387.74
2021-12-01 07:45:00,43283.77,387.74
2021-12-01 08:00:00,43176.96,387.74
2021-12-01 08:15:00,43177.39,367.14
2021-12-01 08:30:00,41665.35,367.14
2021-12-01 08:45:00,39685.66,367.14
2021-12-01 09:00:00,38474.32,367.14
2021-12-01 09:15:00,37635.26,332.22
2021-12-01 09:30:00,35873.75,332.22
2021-12-01 09:45:00,35477.69,332.22
2021-12-01 10:00:00,34609.23,332.22
2021-12-01 10:15:00,33308.48,34.76
2021-12-01 10:30:00,32022.7,34.76
2021-12-01 10:45:00,31631.78,34.76
2021-12-01 11:00:00,31440.43,34.76
2021-12-01 11:15:00,33211.9,66.5
2021-12-01 11:30:00,31915.76,66.5
2021-12-01 11:45:00,31223.36,66.5
2021-12-01 12:00:00,31162.45,66.5
2021-12-01 12:15:00,31402.28,-80.0
2021-12-01 12:30:00,31320.65,-80.0
2021-12-01 12:45:00,31490.36,-80.0
2021-12-01 13:00:00,32171.88,-80.0
2021-12-01 13:15:00,32835.6,249.67
2021-12-01 13:30:00,33423.01,249.67
2021-12-01 13:45:00,33445.65,249.67
2021-12-01 14:00:00,33166.07,249.67
2021-12-01 14:15:00,33406.06,329.09
2021-12-01 14:30:00,33721.48,329.09
2021-12-01 14:45:00,35218.39,329.09
2021-12-01 15:00:00,36647.3,329.09
2021-12-01 15:15:00,38487.2,363.86
2021-12-01 15:30:00,40551.92,363.86
2021-12-01 15:45:00,43109.05,363.86
2021-12-01 16:00:00,45352.14,363.86
2021-12-01 16:15:00,47487.7,532.53
2021-12-01 16:30:00,49764.42,532.53
2021-12-01 16:45:00,51305.96,532.53
2021-12-01 17:00:00,51780.72,532.53
2021-12-01 17:15:00,52756.55,799.42
2021-12-01 17:30:00,53644.53,799.42
2021-12-01 17:45:00,53395.22,799.42
2021-12-01 18:00:00,52696.41,799.42
2021-12-01 18:15:00,52089.58,582.69
2021-12-01 18:30:00,51570.1,582.69
2021-12-01 18:45:00,50718.74,582.69
2021-12-01 19:00:00,50369.43,582.69
2021-12-01 19:15:00,49868.66,433.58
2021-12-01 19:30:00,49691.08,433.58
2021-12-01 19:45:00,49088.66,433.58
2021-12-01 20:00:00,48441.64,433.58
2021-12-01 20:15:00,48329.63,394.49
2021-12-01 20:30:00,48571.68,394.49
